scenario,split,wake_loss
standard,1000,0.09017457719361932
standard,1000,0.10572607353650532
standard,1000,0.09646607695803444
standard,1000,0.11961029905064946
standard,1000,0.1185928006369964
standard,1000,0.10162240285360036
standard,1000,0.1143505741621107
standard,1000,0.12009280917750542
standard,1000,0.11480813711141613
standard,1000,0.10254080624366102
standard,1000,0.10843537575919693
standard,1000,0.11617644330609189
standard,1000,0.11502742728042559
standard,1000,0.10253429791248381
standard,1000,0.10321460669654725
standard,1000,0.10552708037752123
standard,1000,0.11345970002527894
standard,1000,0.11232551020166603
standard,1000,0.10866502415413348
standard,1000,0.1049536321248451
standard,1000,0.10903294510356532
standard,1000,0.10471970269196984
standard,1000,0.10953273582513268
standard,1000,0.10584196394940903
standard,1000,0.09746472802342021
standard,1000,0.10275978900874949
standard,1000,0.10368406551625398
standard,1000,0.10495793427441169
standard,1000,0.0993517594399318
standard,1000,0.09953501922217078
standard,1000,0.09865031585860373
standard,1000,0.09759662520886248
standard,1000,0.11896081302162664
standard,1000,0.10539094017836681
standard,1000,0.11713669876520583
standard,1000,0.09915689842405051
standard,1000,0.1116914324910736
standard,1000,0.10906166059806666
standard,1000,0.10388186666629051
standard,1000,0.10724104039305438
standard,1000,0.10460099630340669
standard,1000,0.10369841807121827
standard,1000,0.09787032520197236
standard,1000,0.10011475944897952
standard,1000,0.09552489162264155
standard,1000,0.09953200182332744
standard,1000,0.10002807401572911
standard,1000,0.09563246437704309
standard,1000,0.09787728876424018
standard,1000,0.09460130268258549
standard,1000,0.0956365535685938
standard,1000,0.11797999921370161
standard,1000,0.09589071236956559
standard,1000,0.09846135432460734
standard,1000,0.09734387307916437
standard,1000,0.0962232785265954
standard,1000,0.10347671013018356
standard,1000,0.09564656914844161
standard,1000,0.11395214087308059
standard,1000,0.10293291596410648
standard,1000,0.09884024291047189
standard,1000,0.09795248595465056
standard,1000,0.12285445197498546
standard,1000,0.10479593568783763
standard,1000,0.10103261672070873
standard,1000,0.11355249647290522
standard,1000,0.1006864618158696
standard,1000,0.1144678460358538
standard,1000,0.0951099503814502
standard,1000,0.09256234111780048
standard,1000,0.10413446991485442
standard,1000,0.08659573805862875
standard,1000,0.08762999337203503
standard,1000,0.08447462426850783
standard,1000,0.09067705156586059
standard,1000,0.06284672361357369
standard,1000,0.08214834472273214
standard,1000,0.10098690737757676
standard,1000,0.09246685565275814
standard,1000,0.08367037334411143
standard,1000,0.08930856863768555
standard,1000,0.08176179187711263
standard,1000,0.0838615909614373
standard,1000,0.10379505759624164
standard,1000,0.09192040523127032
standard,1000,0.08876770416450352
standard,1000,0.0899646061066417
standard,1000,0.08372636520467813
standard,1000,0.07559426102819788
standard,1000,0.10303565759921718
standard,1000,0.0828081977934515
standard,1000,0.09290172961081677
standard,1000,0.0902670363038044
standard,1000,0.0755928381107559
standard,1000,0.0856909420325298
standard,1000,0.06915312789289374
standard,1000,0.061444331768817584
standard,1000,0.08451178697130746
standard,1000,0.09531571942443295
standard,1000,0.07746118950719405
standard,1000,0.09436222520078907
standard,1000,0.09097257416155435
standard,1000,0.07015584011909481
standard,1000,0.052234063948359166
standard,1000,0.08803110112890422
standard,1000,0.05504852312367381
standard,1000,0.08091627188500483
standard,1000,0.07246052545668691
standard,1000,0.09787249743784365
standard,1000,0.0928920022232107
standard,1000,0.06068641187580226
standard,1000,0.1142147938274003
standard,1000,0.12108871962375112
standard,1000,0.11215130734277723
standard,1000,0.11799067499302562
standard,1000,0.09508628546313669
standard,1000,0.10462519179793772
standard,1000,0.11130085501388443
standard,1000,0.10645742699552141
standard,1000,0.10899337915660834
standard,1000,0.11202768191422174
standard,1000,0.0794462016841534
standard,1000,0.08889522696341468
standard,1000,0.10228135902777646
standard,1000,0.10345778631973546
standard,1000,0.09226107489047919
standard,1000,0.09559040226867677
standard,1000,0.09984883882357709
standard,1000,0.06500412711529258
